layer,beta,experiment,success_count,total_prompts,final_accuracy
15,5.0,2,82.0,1000.0,0.082
15,5.0,3,84.0,1000.0,0.084
15,5.0,4,89.0,1000.0,0.089
15,5.0,5,78.0,1000.0,0.078
15,5.0,Average,,,0.0849999999999999
17,0.5,1,222.0,1000.0,0.222
17,0.5,2,203.0,1000.0,0.203
17,0.5,3,228.0,1000.0,0.228
17,0.5,4,215.0,1000.0,0.215
17,0.5,5,213.0,1000.0,0.213
17,0.5,Average,,,0.2162
17,1.0,1,736.0,1000.0,0.736
17,1.0,2,699.0,1000.0,0.699
17,1.0,3,731.0,1000.0,0.731
17,1.0,4,705.0,1000.0,0.705
17,1.0,5,726.0,1000.0,0.726
17,1.0,Average,,,0.7194
17,1.5,1,773.0,1000.0,0.773
17,1.5,2,745.0,1000.0,0.745
17,1.5,3,788.0,1000.0,0.788
17,1.5,4,771.0,1000.0,0.771
17,1.5,5,761.0,1000.0,0.761
17,1.5,Average,,,0.7676000000000001
17,2.0,1,708.0,1000.0,0.708
17,2.0,2,692.0,1000.0,0.692
17,2.0,3,735.0,1000.0,0.735
17,2.0,4,741.0,1000.0,0.741
17,2.0,5,674.0,1000.0,0.674
17,2.0,Average,,,0.71
17,2.5,1,511.0,1000.0,0.511
17,2.5,2,468.0,1000.0,0.468
17,2.5,3,463.0,1000.0,0.463
17,2.5,4,492.0,1000.0,0.492
17,2.5,5,413.0,1000.0,0.413
17,2.5,Average,,,0.4694
17,3.0,1,278.0,1000.0,0.278
17,3.0,2,248.0,1000.0,0.248
17,3.0,3,266.0,1000.0,0.266
17,3.0,4,277.0,1000.0,0.277
17,3.0,5,261.0,1000.0,0.261
17,3.0,Average,,,0.266
17,4.0,1,75.0,1000.0,0.075
17,4.0,2,72.0,1000.0,0.072
17,4.0,3,74.0,1000.0,0.074
17,4.0,4,75.0,1000.0,0.075
17,4.0,5,65.0,1000.0,0.065
17,4.0,Average,,,0.0722
17,5.0,1,30.0,1000.0,0.03
17,5.0,2,16.0,1000.0,0.016
17,5.0,3,22.0,1000.0,0.022
17,5.0,4,53.0,1000.0,0.053
17,5.0,5,14.0,1000.0,0.014
17,5.0,Average,,,0.027
18,0.5,1,244.0,1000.0,0.244
18,0.5,2,264.0,1000.0,0.264
18,0.5,3,260.0,1000.0,0.26
18,0.5,4,257.0,1000.0,0.257
18,0.5,5,254.0,1000.0,0.254
18,0.5,Average,,,0.2557999999999999
18,1.0,1,724.0,1000.0,0.724
18,1.0,2,702.0,1000.0,0.702
18,1.0,3,736.0,1000.0,0.736
18,1.0,4,711.0,1000.0,0.711
18,1.0,5,713.0,1000.0,0.713
18,1.0,Average,,,0.7172
18,1.5,1,710.0,1000.0,0.71
18,1.5,2,682.0,1000.0,0.682
18,1.5,3,716.0,1000.0,0.716
18,1.5,4,731.0,1000.0,0.731
18,1.5,5,654.0,1000.0,0.654
18,1.5,Average,,,0.6985999999999999
18,2.0,1,540.0,1000.0,0.54
18,2.0,2,513.0,1000.0,0.513
18,2.0,3,516.0,1000.0,0.516
18,2.0,4,569.0,1000.0,0.569
18,2.0,5,469.0,1000.0,0.469
18,2.0,Average,,,0.5214
18,2.5,1,315.0,1000.0,0.315
18,2.5,2,308.0,1000.0,0.308
18,2.5,3,310.0,1000.0,0.31
18,2.5,4,309.0,1000.0,0.309
18,2.5,5,274.0,1000.0,0.274
18,2.5,Average,,,0.3032
18,3.0,1,162.0,1000.0,0.162
18,3.0,2,175.0,1000.0,0.175
18,3.0,3,186.0,1000.0,0.186
18,3.0,4,187.0,1000.0,0.187
18,3.0,5,157.0,1000.0,0.157
18,3.0,Average,,,0.1734
18,4.0,1,63.0,1000.0,0.063
18,4.0,2,62.0,1000.0,0.062
18,4.0,3,57.0,1000.0,0.057
18,4.0,4,67.0,1000.0,0.067
18,4.0,5,43.0,1000.0,0.043
18,4.0,Average,,,0.0583999999999999
18,5.0,1,0.0,1000.0,0.0
18,5.0,2,0.0,1000.0,0.0
18,5.0,3,0.0,1000.0,0.0
18,5.0,4,0.0,1000.0,0.0
18,5.0,5,0.0,1000.0,0.0
18,5.0,Average,,,0.0
19,0.5,1,258.0,1000.0,0.258
19,0.5,2,260.0,1000.0,0.26
